"comment_code","name","category","kana","valid_from","valid_to","change_type","raw_record"
"21","第三者行為","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMjEiLCI1Iiwi56ys5LiJ6ICF6KGM54K6IiwiMTAiLCLvvoDvvp7vvbLvvbvvvp3vvbzvvazvvbrvvbPvvbIiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwMjEiLCIxNzY2MDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"22","交通事故","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMjIiLCI0Iiwi5Lqk6YCa5LqL5pWFIiwiNyIsIu+9uu+9s+++gu+9s++9vO++nu+9uiIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAyMiIsIjE3NjcwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"23","月遅れ請求分","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMjMiLCI2Iiwi5pyI6YGF44KM6KuL5rGC5YiGIiwiMTMiLCLvvoLvvbfvvbXvvbjvvprvvb7vvbLvvbfvva3vvbPvvozvvp7vvp0iLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwMjMiLCIxNzY4MDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"33","未来院請求後","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMzMiLCI2Iiwi5pyq5p2l6Zmi6KuL5rGC5b6MIiwiMTIiLCLvvpDvvpfvvbLvvbLvvp3vvb7vvbLvvbfvva3vvbPvvbrvvp4iLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwMzMiLCIxNzY5MDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"35","他保険にて請求済み","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMzUiLCI5Iiwi5LuW5L+d6Zm644Gr44Gm6KuL5rGC5riI44G/IiwiMTQiLCLvvoDvvo7vvbnvvp3vvobvvoPvvb7vvbLvvbfvva3vvbPvvb3vvp7vvpAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwMzUiLCIxNzcwMDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"36","他保険者にて請求済み","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMzYiLCIxMCIsIuS7luS/nemZuuiAheOBq+OBpuiri+axgua4iOOBvyIsIjE2Iiwi776A776O7725776d7728772s776G776D772+772y7723772t772z7729776e776QIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiODIwMDAwMDM2IiwiMTc3MTAwMDAiLCIiLCIiLCIiLCIiLCIiLCIi"
"37","自己注射に用いる注射薬投与","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMzciLCIxMyIsIuiHquW3seazqOWwhOOBq+eUqOOBhOOCi+azqOWwhOiWrOaKleS4jiIsIjIwIiwi7728776e7726776B772t772z7728772s776G776T776B772y776Z776B772t772z7728772s776U7724IiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiODIwMDAwMDM3IiwiMTc3MjAwMDAiLCIiLCIiLCIiLCIiLCIiLCIi"
"38","自己連続携行式腹膜灌流に用いる注射薬投与","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMzgiLCIyMCIsIuiHquW3semAo+e2muaQuuihjOW8j+iFueiGnOeBjOa1geOBq+eUqOOBhOOCi+azqOWwhOiWrOaKleS4jiIsIjIwIiwi7728776e7726776a776d772/776e77247725772y7726772z77287723776M7724776P77247722776dIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiODIwMDAwMDM4IiwiMTc3MzAwMDAiLCIiLCIiLCIiLCIiLCIiLCIi"
"39","在宅中心静脈栄養法に用いる注射薬投与","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMzkiLCIxOCIsIuWcqOWuheS4reW/g+mdmeiEiOaghOmkiuazleOBq+eUqOOBhOOCi+azqOWwhOiWrOaKleS4jiIsIjIwIiwi7727776e772y776A7724776B772t772z7728776d7728776e772u772z776Q772s77247720772y776WIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiODIwMDAwMDM5IiwiMTc3NDAwMDAiLCIiLCIiLCIiLCIiLCIiLCIi"
"42","新規指定","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNDIiLCI0Iiwi5paw6KaP5oyH5a6aIiwiNiIsIu+9vO++ne+9t++9vO++g++9siIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDA0MiIsIjE3NzUwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"46","（サ）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNDYiLCIzIiwi77yI44K177yJIiwiMSIsIu+9uyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDA0NiIsIjE3NzYwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"47","（減）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNDciLCIzIiwi77yI5rib77yJIiwiMyIsIu+9ue++nu++nSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDA0NyIsIjE3NzcwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"50","（介）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNTAiLCIzIiwi77yI5LuL77yJIiwiMiIsIu+9tu+9siIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDA1MCIsIjE3NzgwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"53","（検選）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNTMiLCI0Iiwi77yI5qSc6YG477yJIiwiNCIsIu+9ue++ne+9vu++nSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDA1MyIsIjE3NzkwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"54","（リハ選）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNTQiLCI1Iiwi77yI44Oq44OP6YG477yJIiwiNCIsIu++mO++iu+9vu++nSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDA1NCIsIjE3ODAwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"55","（精選）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNTUiLCI0Iiwi77yI57K+6YG477yJIiwiNCIsIu+9vu+9su+9vu++nSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDA1NSIsIjE3ODEwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"56","画診共同","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNTYiLCI0Iiwi55S76Ki65YWx5ZCMIiwiMTAiLCLvvbbvvp7vvbzvvp3vvbfvva7vvbPvvoTvvp7vvbMiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwNTYiLCIxNzgyMDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"94","（薬評）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiOTQiLCI0Iiwi77yI6Jas6KmV77yJIiwiNSIsIu++lO+9uO++i++9ru+9syIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDA5NCIsIjE3ODMwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"95","（器評）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiOTUiLCI0Iiwi77yI5Zmo6KmV77yJIiwiNCIsIu+9t+++i++9ru+9syIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDA5NSIsIjE3ODQwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"139","リソウ","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTM5IiwiMyIsIuODquOCveOCpiIsIjMiLCLvvpjvvb/vvbMiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAxMzkiLCIxODE5MDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"140","義歯増歯","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQwIiwiNCIsIue+qeatr+Wil+atryIsIjciLCLvvbfvvp7vvbzvvb/vvp7vvbPvvbwiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAxNDAiLCIxODIwMDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"141","１歯分間隙","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQxIiwiNSIsIu+8keatr+WIhumWk+mamSIsIjEwIiwiMe+9vO++jO++nu++ne+9tu++ne+9ue++nu+9tyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDE0MSIsIjE4MjEwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"143","（障害）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQzIiwiNCIsIu+8iOmanOWus++8iSIsIjYiLCLvvbzvva7vvbPvvbbvvp7vvbIiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAxNDMiLCIxODIyMDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"144","入院元　一般病棟（自院以外の急性期病院からの転院）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQ0IiwiMjUiLCLlhaXpmaLlhYPjgIDkuIDoiKznl4Xmo5/vvIjoh6rpmaLku6XlpJbjga7mgKXmgKfmnJ/nl4XpmaLjgYvjgonjga7ou6LpmaLvvIkiLCIxOCIsIu++hu+9re+9s++9su++ne++k+++hO+9su+9r+++iu++n+++ne++i+++nu+9ru+9s+++hO+9syIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDE0NCIsIjE4MjMwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"145","入院元　一般病棟（自院の急性期病棟からの転棟）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQ1IiwiMjMiLCLlhaXpmaLlhYPjgIDkuIDoiKznl4Xmo5/vvIjoh6rpmaLjga7mgKXmgKfmnJ/nl4Xmo5/jgYvjgonjga7ou6Lmo5/vvIkiLCIxOCIsIu++hu+9re+9s++9su++ne++k+++hO+9su+9r+++iu++n+++ne++i+++nu+9ru+9s+++hO+9syIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDE0NSIsIjE4MjQwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"146","入院元　他の病棟（急性期医療を担う保険医療機関の一般病棟以外）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQ2IiwiMzEiLCLlhaXpmaLlhYPjgIDku5bjga7nl4Xmo5/vvIjmgKXmgKfmnJ/ljLvnmYLjgpLmi4XjgYbkv53pmbrljLvnmYLmqZ/plqLjga7kuIDoiKznl4Xmo5/ku6XlpJbvvIkiLCIxNSIsIu++hu+9re+9s++9su++ne++k+++hO++gO++ie++i+++nu+9ru+9s+++hO+9syIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDE0NiIsIjE4MjUwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"147","入院元　介護老人保健施設","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQ3IiwiMTIiLCLlhaXpmaLlhYPjgIDku4vorbfogIHkurrkv53lgaXmlr3oqK0iLCIyMCIsIu++hu+9re+9s++9su++ne++k+++hO+9tu+9su+9uu++nu++m++9s++9vO++nu++ne++ju+9ue++ne+9vCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDE0NyIsIjE4MjYwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"148","入院元　特別養護老人ホーム","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQ4IiwiMTMiLCLlhaXpmaLlhYPjgIDnibnliKXppIrorbfogIHkurrjg5vjg7zjg6AiLCIyMCIsIu++hu+9re+9s++9su++ne++k+++hO++hO+9uO++je++nu++gu++lu+9s++9uu++nu++m++9s++9vO++niIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDE0OCIsIjE4MjcwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"149","入院元　有料老人ホーム等","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQ5IiwiMTIiLCLlhaXpmaLlhYPjgIDmnInmlpnogIHkurrjg5vjg7zjg6DnrYkiLCIyMCIsIu++hu+9re+9s++9su++ne++k+++hO++le+9s+++mO+9ru+9s+++m++9s++9vO++nu++ne++ju+9sO++kSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDE0OSIsIjE4MjgwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"150","入院元　自宅","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTUwIiwiNiIsIuWFpemZouWFg+OAgOiHquWuhSIsIjExIiwi776G772t772z772y776d776T776E7728776e776A7724IiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiODIwMDAwMTUwIiwiMTgyOTAwMDAiLCIiLCIiLCIiLCIiLCIiLCIi"
