"drug_code","name","kana","unit","price","form","manufacturer","valid_from"
"610408068","9","ウチダのコウベイＭ","33","1","ｳﾁﾀﾞﾉｺｳﾍﾞｲM","ｇ","Y"
"610408069","9","ウチダのコウボクＭ","33","1","ｳﾁﾀﾞﾉｺｳﾎﾞｸM","ｇ","Y"
"610408070","10","ウチダのコウボク末Ｍ","33","1","ｳﾁﾀﾞﾉｺｳﾎﾞｸﾏﾂM","ｇ","Y"
"610408071","9","ウチダのコロンボＭ","33","1","ｳﾁﾀﾞﾉｺﾛﾝﾎﾞM","ｇ","Y"
"610408072","10","ウチダのコロンボ末Ｍ","33","1","ｳﾁﾀﾞﾉｺﾛﾝﾎﾞﾏﾂM","ｇ","Y"
"610408073","8","ウチダのサイコＭ","33","1","ｳﾁﾀﾞﾉｻｲｺM","ｇ","Y"
"610408074","9","ウチダのサイシンＭ","33","1","ｳﾁﾀﾞﾉｻｲｼﾝM","ｇ","Y"
"610408075","9","ウチダのサフランＭ","33","1","ｳﾁﾀﾞﾉｻﾌﾗﾝM","ｇ","Y"
"610408076","10","ウチダのサンキライＭ","33","1","ｳﾁﾀﾞﾉｻﾝｷﾗｲM","ｇ","Y"
"610408077","11","ウチダのサンキライ末Ｍ","33","1","ｳﾁﾀﾞﾉｻﾝｷﾗｲﾏﾂM","ｇ","Y"
"610408078","10","ウチダのサンシュユＭ","33","1","ｳﾁﾀﾞﾉｻﾝｼｭﾕM","ｇ","Y"
"610408079","10","ウチダのサンショウＭ","33","1","ｳﾁﾀﾞﾉｻﾝｼｮｳM","ｇ","Y"
"610408080","11","ウチダのサンショウ末Ｍ","33","1","ｳﾁﾀﾞﾉｻﾝｼｮｳﾏﾂM","ｇ","Y"
"610408081","9","ウチダのサンシシＭ","33","1","ｳﾁﾀﾞﾉｻﾝｼｼM","ｇ","Y"
"610408082","10","ウチダのサンシシ末Ｍ","33","1","ｳﾁﾀﾞﾉｻﾝｼｼﾏﾂM","ｇ","Y"
"610408083","9","ウチダのサンヤクＭ","33","1","ｳﾁﾀﾞﾉｻﾝﾔｸM","ｇ","Y"
"610408084","10","ウチダのシャクヤクＭ","33","1","ｳﾁﾀﾞﾉｼｬｸﾔｸM","ｇ","Y"
"610408085","11","ウチダのシャクヤク末Ｍ","33","1","ｳﾁﾀﾞﾉｼｬｸﾔｸﾏﾂM","ｇ","Y"
"610408086","10","ウチダのシャゼンシＭ","33","1","ｳﾁﾀﾞﾉｼｬｾﾞﾝｼM","ｇ","Y"
"610408087","11","ウチダのシャゼンソウＭ","33","1","ｳﾁﾀﾞﾉｼｬｾﾞﾝｿｳM","ｇ","Y"
"610408088","10","ウチダのシュクシャＭ","33","1","ｳﾁﾀﾞﾉｼｭｸｼｬM","ｇ","Y"
"610408089","11","ウチダのシュクシャ末Ｍ","33","1","ｳﾁﾀﾞﾉｼｭｸｼｬﾏﾂM","ｇ","Y"
"610408090","11","ウチダのショウキョウＭ","33","1","ｳﾁﾀﾞﾉｼｮｳｷｮｳM","ｇ","Y"
"610408091","12","ウチダのショウキョウ末Ｍ","33","1","ｳﾁﾀﾞﾉｼｮｳｷｮｳﾏﾂM","ｇ","Y"
"610408092","9","ウチダのショウマＭ","33","1","ｳﾁﾀﾞﾉｼｮｳﾏM","ｇ","Y"
"610408093","10","ウチダのショウズクＭ","33","1","ｳﾁﾀﾞﾉｼｮｳｽﾞｸM","ｇ","Y"
"610408094","8","ウチダのシコンＭ","33","1","ｳﾁﾀﾞﾉｼｺﾝM","ｇ","Y"
"610408095","9","ウチダのセッコウＭ","33","1","ｳﾁﾀﾞﾉｾｯｺｳM","ｇ","Y"
"610408096","8","ウチダのセネガＭ","33","1","ｳﾁﾀﾞﾉｾﾈｶﾞM","ｇ","Y"
"610408097","9","ウチダのセネガ末Ｍ","33","1","ｳﾁﾀﾞﾉｾﾈｶﾞﾏﾂM","ｇ","Y"
"610408098","10","ウチダのセンキュウＭ","33","1","ｳﾁﾀﾞﾉｾﾝｷｭｳM","ｇ","Y"
"610408099","11","ウチダのセンキュウ末Ｍ","33","1","ｳﾁﾀﾞﾉｾﾝｷｭｳﾏﾂM","ｇ","Y"
"610408100","9","ウチダのセンコツＭ","33","1","ｳﾁﾀﾞﾉｾﾝｺﾂM","ｇ","Y"
"610408101","8","ウチダのセンナＭ","33","1","ｳﾁﾀﾞﾉｾﾝﾅM","ｇ","Y"
"610408102","9","ウチダのセンナ末Ｍ","33","1","ｳﾁﾀﾞﾉｾﾝﾅﾏﾂM","ｇ","Y"
"610408103","9","ウチダのセンブリＭ","33","1","ｳﾁﾀﾞﾉｾﾝﾌﾞﾘM","ｇ","Y"
"610408104","10","ウチダのセンブリ末Ｍ","33","1","ｳﾁﾀﾞﾉｾﾝﾌﾞﾘﾏﾂM","ｇ","Y"
"610408105","10","ウチダのソウハクヒＭ","33","1","ｳﾁﾀﾞﾉｿｳﾊｸﾋM","ｇ","Y"
"610408106","10","ウチダのソウジュツＭ","33","1","ｳﾁﾀﾞﾉｿｳｼﾞｭﾂM","ｇ","Y"
"610408107","11","ウチダのソウジュツ末Ｍ","33","1","ｳﾁﾀﾞﾉｿｳｼﾞｭﾂﾏﾂM","ｇ","Y"
"610408108","8","ウチダのソヨウＭ","33","1","ｳﾁﾀﾞﾉｿﾖｳM","ｇ","Y"
"610408109","9","ウチダのタイソウＭ","33","1","ｳﾁﾀﾞﾉﾀｲｿｳM","ｇ","Y"
"610408110","9","ウチダのタクシャＭ","33","1","ｳﾁﾀﾞﾉﾀｸｼｬM","ｇ","Y"
"610408111","10","ウチダのタクシャ末Ｍ","33","1","ｳﾁﾀﾞﾉﾀｸｼｬﾏﾂM","ｇ","Y"
"610408112","9","ウチダのチョウジＭ","33","1","ｳﾁﾀﾞﾉﾁｮｳｼﾞM","ｇ","Y"
"610408113","10","ウチダのチョウジ末Ｍ","33","1","ｳﾁﾀﾞﾉﾁｮｳｼﾞﾏﾂM","ｇ","Y"
"610408114","9","ウチダのチョレイＭ","33","1","ｳﾁﾀﾞﾉﾁｮﾚｲM","ｇ","Y"
"610408115","13","ウチダのチクセツニンジンＭ","33","1","ｳﾁﾀﾞﾉﾁｸｾﾂﾆﾝｼﾞﾝM","ｇ","Y"
"610408116","14","ウチダのチクセツニンジン末Ｍ","33","1","ｳﾁﾀﾞﾉﾁｸｾﾂﾆﾝｼﾞﾝﾏﾂM","ｇ","Y"
"610408117","7","ウチダのチモＭ","33","1","ｳﾁﾀﾞﾉﾁﾓM","ｇ","Y"
"610408118","8","ウチダのチンピＭ","33","1","ｳﾁﾀﾞﾉﾁﾝﾋﾟM","ｇ","Y"
"610408119","8","ウチダのトウキＭ","33","1","ｳﾁﾀﾞﾉﾄｳｷM","ｇ","Y"
"610408120","9","ウチダのトウキ末Ｍ","33","1","ｳﾁﾀﾞﾉﾄｳｷﾏﾂM","ｇ","Y"
"610408121","9","ウチダのトウニンＭ","33","1","ｳﾁﾀﾞﾉﾄｳﾆﾝM","ｇ","Y"
"610408122","8","ウチダのトウヒＭ","33","1","ｳﾁﾀﾞﾉﾄｳﾋM","ｇ","Y"
"610408123","10","ウチダのトウガラシＭ","33","1","ｳﾁﾀﾞﾉﾄｳｶﾞﾗｼM","ｇ","Y"
"610408124","11","ウチダのトウガラシ末Ｍ","33","1","ｳﾁﾀﾞﾉﾄｳｶﾞﾗｼﾏﾂM","ｇ","Y"
"610408125","9","ウチダのニンジンＭ","33","1","ｳﾁﾀﾞﾉﾆﾝｼﾞﾝM","ｇ","Y"
"610408126","8","ウチダのニガキＭ","33","1","ｳﾁﾀﾞﾉﾆｶﾞｷM","ｇ","Y"
"610408127","9","ウチダのニガキ末Ｍ","33","1","ｳﾁﾀﾞﾉﾆｶﾞｷﾏﾂM","ｇ","Y"
"610408128","8","ウチダのハッカＭ","33","1","ｳﾁﾀﾞﾉﾊｯｶM","ｇ","Y"
"610408129","11","ウチダのハマボウフウＭ","33","1","ｳﾁﾀﾞﾉﾊﾏﾎﾞｳﾌｳM","ｇ","Y"
"610408130","8","ウチダのハンゲＭ","33","1","ｳﾁﾀﾞﾉﾊﾝｹﾞM","ｇ","Y"
"610408131","8","ウチダのマオウＭ","33","1","ｳﾁﾀﾞﾉﾏｵｳM","ｇ","Y"
"610408132","9","ウチダのモッコウＭ","33","1","ｳﾁﾀﾞﾉﾓｯｺｳM","ｇ","Y"
"610408133","9","ウチダのモクツウＭ","33","1","ｳﾁﾀﾞﾉﾓｸﾂｳM","ｇ","Y"
"610408134","8","ウチダのヤクチＭ","33","1","ｳﾁﾀﾞﾉﾔｸﾁM","ｇ","Y"
"610408135","10","ウチダのヨクイニンＭ","33","1","ｳﾁﾀﾞﾉﾖｸｲﾆﾝM","ｇ","Y"
"610408136","11","ウチダのヨクイニン末Ｍ","33","1","ｳﾁﾀﾞﾉﾖｸｲﾆﾝﾏﾂM","ｇ","Y"
"610408137","10","ウチダのリュウコツＭ","33","1","ｳﾁﾀﾞﾉﾘｭｳｺﾂM","ｇ","Y"
"610408138","10","ウチダのリュウタンＭ","33","1","ｳﾁﾀﾞﾉﾘｭｳﾀﾝM","ｇ","Y"
"610408139","11","ウチダのリュウタン末Ｍ","33","1","ｳﾁﾀﾞﾉﾘｭｳﾀﾝﾏﾂM","ｇ","Y"
"610408140","10","ウチダのレンギョウＭ","33","1","ｳﾁﾀﾞﾉﾚﾝｷﾞｮｳM","ｇ","Y"
"610408141","9","ウチダのガジュツＭ","33","1","ｳﾁﾀﾞﾉｶﾞｼﾞｭﾂM","ｇ","Y"
"610408142","10","ウチダのゲンチアナＭ","33","1","ｳﾁﾀﾞﾉｹﾞﾝﾁｱﾅM","ｇ","Y"
"610408143","11","ウチダのゲンチアナ末Ｍ","33","1","ｳﾁﾀﾞﾉｹﾞﾝﾁｱﾅﾏﾂM","ｇ","Y"
"610408144","12","ウチダのゲンノショウコＭ","33","1","ｳﾁﾀﾞﾉｹﾞﾝﾉｼｮｳｺM","ｇ","Y"
"610408145","13","ウチダのゲンノショウコ末Ｍ","33","1","ｳﾁﾀﾞﾉｹﾞﾝﾉｼｮｳｺﾏﾂM","ｇ","Y"
"610408146","9","ウチダのゴシュユＭ","33","1","ｳﾁﾀﾞﾉｺﾞｼｭﾕM","ｇ","Y"
"610408147","8","ウチダのゴシツＭ","33","1","ｳﾁﾀﾞﾉｺﾞｼﾂM","ｇ","Y"
"610408148","8","ウチダのゴミシＭ","33","1","ｳﾁﾀﾞﾉｺﾞﾐｼM","ｇ","Y"
"610408149","10","ウチダのジュウヤクＭ","33","1","ｳﾁﾀﾞﾉｼﾞｭｳﾔｸM","ｇ","Y"
"610408150","8","ウチダのジオウＭ","33","1","ｳﾁﾀﾞﾉｼﾞｵｳM","ｇ","Y"
"610408151","9","ウチダのダイオウＭ","33","1","ｳﾁﾀﾞﾉﾀﾞｲｵｳM","ｇ","Y"
"610408152","10","ウチダのダイオウ末Ｍ","33","1","ｳﾁﾀﾞﾉﾀﾞｲｵｳﾏﾂM","ｇ","Y"
"610408153","11","ウチダのバクモンドウＭ","33","1","ｳﾁﾀﾞﾉﾊﾞｸﾓﾝﾄﾞｳM","ｇ","Y"
"610408154","9","ウチダのビャクシＭ","33","1","ｳﾁﾀﾞﾉﾋﾞｬｸｼM","ｇ","Y"
"610408155","11","ウチダのビャクジュツＭ","33","1","ｳﾁﾀﾞﾉﾋﾞｬｸｼﾞｭﾂM","ｇ","Y"
"610408156","12","ウチダのビャクジュツ末Ｍ","33","1","ｳﾁﾀﾞﾉﾋﾞｬｸｼﾞｭﾂﾏﾂM","ｇ","Y"
"610408157","10","ウチダのビンロウジＭ","33","1","ｳﾁﾀﾞﾉﾋﾞﾝﾛｳｼﾞM","ｇ","Y"
"610408158","10","ウチダのブクリョウＭ","33","1","ｳﾁﾀﾞﾉﾌﾞｸﾘｮｳM","ｇ","Y"
"610408159","11","ウチダのブクリョウ末Ｍ","33","1","ｳﾁﾀﾞﾉﾌﾞｸﾘｮｳﾏﾂM","ｇ","Y"
"610408161","8","ウチダのボウイＭ","33","1","ｳﾁﾀﾞﾉﾎﾞｳｲM","ｇ","Y"
"610408162","9","ウチダのボウコンＭ","33","1","ｳﾁﾀﾞﾉﾎﾞｳｺﾝM","ｇ","Y"
"610408163","9","ウチダのボウフウＭ","33","1","ｳﾁﾀﾞﾉﾎﾞｳﾌｳM","ｇ","Y"
"610408164","9","ウチダのボタンピＭ","33","1","ｳﾁﾀﾞﾉﾎﾞﾀﾝﾋﾟM","ｇ","Y"
"610408165","10","ウチダのボタンピ末Ｍ","33","1","ｳﾁﾀﾞﾉﾎﾞﾀﾝﾋﾟﾏﾂM","ｇ","Y"
"610408166","8","ウチダのボレイＭ","33","1","ｳﾁﾀﾞﾉﾎﾞﾚｲM","ｇ","Y"
"610408167","9","ウチダのボレイ末Ｍ","33","1","ｳﾁﾀﾞﾉﾎﾞﾚｲﾏﾂM","ｇ","Y"
"610408264","14","タンニン酸アルブミン「三恵」","33","1","ﾀﾝﾆﾝｻﾝｱﾙﾌﾞﾐﾝｻﾝｹｲ","ｇ","Y"
"610408274","11","ツムラの生薬ウイキョウ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｳｲｷｮｳ","ｇ","Y"
"610408275","11","ツムラの生薬エンゴサク","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｴﾝｺﾞｻｸ","ｇ","Y"
"610408276","10","ツムラの生薬オウレン","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｵｳﾚﾝ","ｇ","Y"
"610408277","9","ツムラの生薬オウギ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｵｳｷﾞ","ｇ","Y"
"610408278","10","ツムラの生薬オウゴン","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｵｳｺﾞﾝ","ｇ","Y"
"610408279","10","ツムラの生薬オウバク","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｵｳﾊﾞｸ","ｇ","Y"
"610408280","9","ツムラの生薬オンジ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｵﾝｼﾞ","ｇ","Y"
"610408281","10","ツムラの生薬カッコン","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｶｯｺﾝ","ｇ","Y"
"610408282","10","ツムラの生薬カロコン","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｶﾛｺﾝ","ｇ","Y"
"610408283","10","ツムラの生薬カンゾウ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｶﾝｿﾞｳ","ｇ","Y"
"610408284","11","ツムラの生薬キョウニン","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｷｮｳﾆﾝ","ｇ","Y"
"610408285","10","ツムラの生薬キキョウ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｷｷｮｳ","ｇ","Y"
"610408286","9","ツムラの生薬キジツ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｷｼﾞﾂ","ｇ","Y"
"610408287","9","ツムラの生薬クジン","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｸｼﾞﾝ","ｇ","Y"
"610408288","9","ツムラの生薬ケイヒ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｹｲﾋ","ｇ","Y"
"610408290","9","ツムラの生薬コウカ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｺｳｶ","ｇ","Y"
"610408291","10","ツムラの生薬コウブシ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｺｳﾌﾞｼ","ｇ","Y"
"610408292","10","ツムラの生薬コウボク","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｺｳﾎﾞｸ","ｇ","Y"
"610408293","9","ツムラの生薬サイコ","33","1","ﾂﾑﾗﾉｼｮｳﾔｸｻｲｺ","ｇ","Y"
