"material_code","name","kana","category_large","category_middle","category_small","price","unit","valid_from","valid_to","change_type","maker","model","raw_record"
"700220000","オルソパントモ型（１５×３０）","ｵﾙｿﾊﾟﾝﾄﾓｶﾞﾀ","","","","120.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjIwMDAwIiwiMTUiLCLjgqrjg6vjgr3jg5Hjg7Pjg4jjg6LlnovvvIjvvJHvvJXDl++8k++8kO+8iSIsIjExIiwi7721776Z772/776K776f776d776E776T7722776e776AIiwiNiIsIjEiLCLmnpoiLCIxIiwiMTIwLjAwIiwiMCIsIjEiLCIwMCIsIjAwIiwiMSIsIjEyMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIiIsIjEwMDUwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjE0IiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+OCquODq+OCveODkeODs+ODiOODouWei+ODu++8ke+8le+9g++9jcOX77yT77yQ772D772NIiwiMDAwIg=="
"700230000","小児型（２．２×３．５）","ｼｮｳﾆｶﾞﾀ","","","","31.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjMwMDAwIiwiMTIiLCLlsI/lhZDlnovvvIjvvJLvvI7vvJLDl++8k++8ju+8le+8iSIsIjciLCLvvbzvva7vvbPvvobvvbbvvp7vvoAiLCI2IiwiMSIsIuaemiIsIjEiLCIzMS4wMCIsIjAiLCIxIiwiMDAiLCIwMCIsIjEiLCIzMS4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIiIsIjEwMDYwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjE1IiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+Wwj+WFkOWei+ODu++8ku+8ju+8ku+9g++9jcOX77yT77yO77yV772D772NIiwiMDAwIg=="
"700240000","間接撮影用フィルム（１０×１０）","ｶﾝｾﾂｻﾂｴｲﾖｳﾌｨﾙﾑ","","","","29.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjQwMDAwIiwiMTYiLCLplpPmjqXmkq7lvbHnlKjjg5XjgqPjg6vjg6DvvIjvvJHvvJDDl++8ke+8kO+8iSIsIjE0Iiwi7722776d772+776C7727776C7720772y776W772z776M772o776Z776RIiwiNiIsIjEiLCLmnpoiLCIxIiwiMjkuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMjkuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCIxMDA4MDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIxNiIsIjAiLCIiLCIiLCIiLCLjg5XjgqPjg6vjg6Djg7vplpPmjqXmkq7lvbHnlKjjg5XjgqPjg6vjg6Djg7vvvJHvvJDvvYPvvY3Dl++8ke+8kO+9g++9jSIsIjAwMCI="
"700250000","間接撮影用フィルム（７×７）","ｶﾝｾﾂｻﾂｴｲﾖｳﾌｨﾙﾑ","","","","22.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjUwMDAwIiwiMTQiLCLplpPmjqXmkq7lvbHnlKjjg5XjgqPjg6vjg6DvvIjvvJfDl++8l++8iSIsIjE0Iiwi7722776d772+776C7727776C7720772y776W772z776M772o776Z776RIiwiNiIsIjEiLCLmnpoiLCIxIiwiMjIuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMjIuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCIxMDA5MDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIxNiIsIjAiLCIiLCIiLCIiLCLjg5XjgqPjg6vjg6Djg7vplpPmjqXmkq7lvbHnlKjjg5XjgqPjg6vjg6Djg7vvvJfvvYPvvY3Dl++8l++9g++9jSIsIjAwMCI="
"700260000","間接撮影用フィルム（６×６）","ｶﾝｾﾂｻﾂｴｲﾖｳﾌｨﾙﾑ","","","","15.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjYwMDAwIiwiMTQiLCLplpPmjqXmkq7lvbHnlKjjg5XjgqPjg6vjg6DvvIjvvJbDl++8lu+8iSIsIjE0Iiwi7722776d772+776C7727776C7720772y776W772z776M772o776Z776RIiwiNiIsIjEiLCLmnpoiLCIxIiwiMTUuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMTUuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCIxMDEwMDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIxNiIsIjAiLCIiLCIiLCIiLCLjg5XjgqPjg6vjg6Djg7vplpPmjqXmkq7lvbHnlKjjg5XjgqPjg6vjg6Djg7vvvJbvvYPvvY3Dl++8lu+9g++9jSIsIjAwMCI="
"700270000","オデルカ用フィルム（１０×１０）","ｵﾃﾞﾙｶﾖｳﾌｨﾙﾑ","","","","33.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjcwMDAwIiwiMTYiLCLjgqrjg4fjg6vjgqvnlKjjg5XjgqPjg6vjg6DvvIjvvJHvvJDDl++8ke+8kO+8iSIsIjExIiwi7721776D776e776Z7722776W772z776M772o776Z776RIiwiNiIsIjEiLCLmnpoiLCIxIiwiMzMuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMzMuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCIxMDExMDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIxNyIsIjAiLCIiLCIiLCIiLCLjg5XjgqPjg6vjg6Djg7vjgqrjg4fjg6vjgqvnlKjjg5XjgqPjg6vjg6Djg7vvvJHvvJDvvYPvvY3Dl++8ke+8kO+9g++9jSIsIjAwMCI="
"700280000","オデルカ用フィルム（７×７）","ｵﾃﾞﾙｶﾖｳﾌｨﾙﾑ","","","","22.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjgwMDAwIiwiMTQiLCLjgqrjg4fjg6vjgqvnlKjjg5XjgqPjg6vjg6DvvIjvvJfDl++8l++8iSIsIjExIiwi7721776D776e776Z7722776W772z776M772o776Z776RIiwiNiIsIjEiLCLmnpoiLCIxIiwiMjIuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMjIuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCIxMDEyMDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIxNyIsIjAiLCIiLCIiLCIiLCLjg5XjgqPjg6vjg6Djg7vjgqrjg4fjg6vjgqvnlKjjg5XjgqPjg6vjg6Djg7vvvJfvvYPvvY3Dl++8l++9g++9jSIsIjAwMCI="
"700290000","マンモグラフィー用フィルム（２４×３０）","ﾏﾝﾓｸﾞﾗﾌｨｰﾖｳﾌｨﾙﾑ","","","","135.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjkwMDAwIiwiMjAiLCLjg57jg7Pjg6LjgrDjg6njg5XjgqPjg7znlKjjg5XjgqPjg6vjg6DvvIjvvJLvvJTDl++8k++8kO+8iSIsIjE1Iiwi776P776d776T7724776e776X776M772o772w776W772z776M772o776Z776RIiwiNiIsIjEiLCLmnpoiLCIxIiwiMTM1LjAwIiwiMCIsIjEiLCIwMCIsIjAwIiwiMSIsIjEzNS4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIiIsIjEwMTMwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjE4IiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+ODnuODs+ODouOCsOODqeODleOCo+ODvOeUqOODleOCo+ODq+ODoOODu++8ku+8lO+9g++9jcOX77yT77yQ772D772NIiwiMDAwIg=="
"700300000","マンモグラフィー用フィルム（２４×３０）（２分割）","ﾏﾝﾓｸﾞﾗﾌｨｰﾖｳﾌｨﾙﾑ","","","","135.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMzAwMDAwIiwiMjUiLCLjg57jg7Pjg6LjgrDjg6njg5XjgqPjg7znlKjjg5XjgqPjg6vjg6DvvIjvvJLvvJTDl++8k++8kO+8ie+8iO+8kuWIhuWJsu+8iSIsIjE1Iiwi776P776d776T7724776e776X776M772o772w776W772z776M772o776Z776RIiwiNiIsIjEiLCLmnpoiLCIxIiwiMTM1LjAwIiwiMCIsIjEiLCIwMCIsIjAwIiwiMSIsIjEzNS4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIiIsIjEwMTYwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjE4IiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+ODnuODs+ODouOCsOODqeODleOCo+ODvOeUqOODleOCo+ODq+ODoOODu++8ku+8lO+9g++9jcOX77yT77yQ772D772N77yI77yS5YiG5Ymy77yJIiwiMDAwIg=="
"700310000","マンモグラフィー用フィルム（２０．３×２５．４）","ﾏﾝﾓｸﾞﾗﾌｨｰﾖｳﾌｨﾙﾑ","","","","135.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMzEwMDAwIiwiMjQiLCLjg57jg7Pjg6LjgrDjg6njg5XjgqPjg7znlKjjg5XjgqPjg6vjg6DvvIjvvJLvvJDvvI7vvJPDl++8ku+8le+8ju+8lO+8iSIsIjE1Iiwi776P776d776T7724776e776X776M772o772w776W772z776M772o776Z776RIiwiNiIsIjEiLCLmnpoiLCIxIiwiMTM1LjAwIiwiMCIsIjEiLCIwMCIsIjAwIiwiMSIsIjEzNS4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIiIsIjEwMTQwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjE4IiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+ODnuODs+ODouOCsOODqeODleOCo+ODvOeUqOODleOCo+ODq+ODoOODu++8ku+8kO+8ju+8k++9g++9jcOX77yS77yV77yO77yU772D772NIiwiMDAwIg=="
